SKU|name|description|vintage|unit-size|price|stock|url|min-order|tax|offer-type|delivery-time|LWIN|imageurl
W760955|Frédéric Cossard 'Zizifreddo'2022||2022|750ml|35.00|0|https://www.magazzinonyc.com/s/shop?query=Fr%C3%A9d%C3%A9ric%20Cossard%20'Zizifreddo'2022||Inc.tax|R|Next day||
C599633|O2Y Arbois 'Ouillé ‘L’Embellie’'||NV|750ml|39.00|0|https://www.magazzinonyc.com/s/shop?query=O2Y%20Arbois%20'Ouill%C3%A9%20%E2%80%98L%E2%80%99Embellie%E2%80%99'||Inc.tax|R|Next day||
Z342923|O2Y 'Catimini' 2022||2022|750ml|39.00|0|https://www.magazzinonyc.com/s/shop?query=O2Y%20'Catimini'%202022||Inc.tax|R|Next day||
L260149|L'absurde Genie des Fleurs 'Zmeurica' 2023||2023|750ml|45.00|0|https://www.magazzinonyc.com/s/shop?query=L'absurde%20Genie%20des%20Fleurs%20'Zmeurica'%202023||Inc.tax|R|Next day||
271126L|Fabio Ferracane '23Foddree'||NV|750ml|31.00|2|https://www.magazzinonyc.com/s/shop?query=Fabio%20Ferracane%20'23Foddree'||Inc.tax|R|Next day||
925506Z|Fabio Ferracane 'Macerato' 2023||2023|750ml|35.00|1|https://www.magazzinonyc.com/s/shop?query=Fabio%20Ferracane%20'Macerato'%202023||Inc.tax|R|Next day||
8946818|Fabio Ferracane 'GuanciaBianca' 2023 Magnum||2023|1.5L Magnum|59.00|6|https://www.magazzinonyc.com/s/shop?query=Fabio%20Ferracane%20'GuanciaBianca'%202023%20Magnum||Inc.tax|R|Next day||
115332Y|Fabio Ferracane 'GuanciaNera' 2023 Magnum||2023|1.5L Magnum|59.00|4|https://www.magazzinonyc.com/s/shop?query=Fabio%20Ferracane%20'GuanciaNera'%202023%20Magnum||Inc.tax|R|Next day||
8843809|Racina Republica 'Blob' 2022||2022|750ml|20.00|2|https://www.magazzinonyc.com/s/shop?query=Racina%20Republica%20'Blob'%202022||Inc.tax|R|Next day||
182350V|Aldo Viola 'Egesta' 2018||2018|750ml|33.00|0|https://www.magazzinonyc.com/s/shop?query=Aldo%20Viola%20'Egesta'%202018||Inc.tax|R|Next day||
279939G|Aldo Viola 'Moretto' 2019||2019|750ml|25.00|0|https://www.magazzinonyc.com/s/shop?query=Aldo%20Viola%20'Moretto'%202019||Inc.tax|R|Next day||
873428R|De Fermo 'Concrete Bianco' 2024||2024|750ml|28.00|0|https://www.magazzinonyc.com/s/shop?query=De%20Fermo%20'Concrete%20Bianco'%202024||Inc.tax|R|Next day||
7408032|De Fermo 'Concrete Rosso' 2022||2022|750ml|28.00|0|https://www.magazzinonyc.com/s/shop?query=De%20Fermo%20'Concrete%20Rosso'%202022||Inc.tax|R|Next day||
160743F|Casa Setaro 'Aryete' 2021||2021|750ml|29.00|0|https://www.magazzinonyc.com/s/shop?query=Casa%20Setaro%20'Aryete'%202021||Inc.tax|R|Next day||
314188Q|Casa Setaro 'Campanelle' 2024||2024|750ml|25.00|0|https://www.magazzinonyc.com/s/shop?query=Casa%20Setaro%20'Campanelle'%202024||Inc.tax|R|Next day||
8886878|Ermes Pavese 'Spumante Metodo Classico XXIV' 2020||2020|750ml|78.00|10|https://www.magazzinonyc.com/s/shop?query=Ermes%20Pavese%20'Spumante%20Metodo%20Classico%20XXIV'%202020||Inc.tax|R|Next day||
2662318|Ermes Pavese 'Blanc de Morgex et de La Salle' 2023||2023|750ml|41.00|0|https://www.magazzinonyc.com/s/shop?query=Ermes%20Pavese%20'Blanc%20de%20Morgex%20et%20de%20La%20Salle'%202023||Inc.tax|R|Next day||
268288Z|Ermes Pavese 'Le Sette Scalinate' 2020 Magnum||2020|1.5L Magnum|147.00|1|https://www.magazzinonyc.com/s/shop?query=Ermes%20Pavese%20'Le%20Sette%20Scalinate'%202020%20Magnum||Inc.tax|R|Next day||
609757B|De Fermo 'Concrete Rosato' 2024||2024|750ml|28.00|0|https://www.magazzinonyc.com/s/shop?query=De%20Fermo%20'Concrete%20Rosato'%202024||Inc.tax|R|Next day||
D010552|Borgogno Rivata 'Barolo' DOCG 2021||2021|750ml|73.00|2|https://www.magazzinonyc.com/s/shop?query=Borgogno%20Rivata%20'Barolo'%20DOCG%202021||Inc.tax|R|Next day||
Q276326|Marie Rocher 'Voilà l'Été' 2022||2022|750ml|22.00|0|https://www.magazzinonyc.com/s/shop?query=Marie%20Rocher%20'Voil%C3%A0%20l'%C3%89t%C3%A9'%202022||Inc.tax|R|Next day||
430829D|Notre Terre 'Vin de France Orange' 2024||2024|750ml|25.00|0|https://www.magazzinonyc.com/s/shop?query=Notre%20Terre%20'Vin%20de%20France%20Orange'%202024||Inc.tax|R|Next day||
